Food Item,Primary Category,Macros per 100g (C / P / F),Valid Preparation,Athletic Benefit
Roasted Turkey Breast,Lean Protein,"0.0g Carbs, 29.0g Pro, 2.0g Fat",Roasted,Ultra-lean poultry source; highly bioavailable amino acids without digestive drag.
Raw Apple (Pome),Slow Carbohydrate,"14.0g Carbs, 0.3g Pro, 0.2g Fat",Raw,Pectin fiber feeds gut bacteria; steady energy release for active recovery days.
Raw Grapes (Inzabibu),Fast Carbohydrate,"18.0g Carbs, 0.7g Pro, 0.2g Fat",Raw,High-sugar bursts perfect for intra-workout energy; contains resveratrol for heart health.
Raw Pomegranate (Ikomamanga),Fast Carb / Micronutrient,"19.0g Carbs, 1.7g Pro, 1.2g Fat",Raw,Clinically shown to improve blood flow and delay fatigue in aerobic sports.
Raw Clarified Butter (Ghee),Healthy Fat,"0.0g Carbs, 0.0g Pro, 100.0g Fat",Raw,Pure energy density; heals the gut lining and provides slow-burning fuel for ultra-marathons.
Brewed Black Tea (Icyayi),Hydration,"0.3g Carbs, 0.0g Pro, 0.0g Fat",Brewed,Gentle stimulant providing focus; rich in antioxidants to prevent cellular degradation.
Ready-to-eat Canned Salmon,Protein / Fat,"0.0g Carbs, 25.0g Pro, 14.0g Fat",Ready-to-eat,The ultimate Omega-3 source; directly reduces joint inflammation and supports brain health in high-impact sports.
Raw Greek Yogurt,Protein / Carbohydrate,"4.0g Carbs, 10.0g Pro, 0.4g Fat",Raw,Packed with slow-digesting casein protein; the ideal pre-sleep meal for overnight muscle synthesis.
Raw Strawberries (Inkeri),Fast Carbohydrate / Micronutrient,"8.0g Carbs, 0.7g Pro, 0.3g Fat",Raw,Locally grown antioxidant powerhouse; low calorie but extremely effective at clearing metabolic waste post-workout.
Brewed Hibiscus Tea,Hydration,"0.0g Carbs, 0.0g Pro, 0.0g Fat",Brewed,Potent cardiovascular recovery fluid; clinically shown to naturally lower blood pressure post-exertion.
Raw Almonds,Fat / Protein,"22.0g Carbs, 21.0g Pro, 50.0g Fat",Raw,"Premium source of Vitamin E, which protects muscle cell membranes from tearing during heavy lifting."
Raw Olive Oil,Healthy Fat,"0.0g Carbs, 0.0g Pro, 100.0g Fat",Raw,High in oleic acid; the healthiest liquid fat for dressing greens without causing digestive sluggishness.
Inyange Drinking Water (500ml),Hydration,"0.0g Carbs, 0.0g Pro, 0.0g Fat",Ready-to-drink,"The safest, most accessible post-workout rehydration available across Rwanda."
Inyange Passion Fruit Juice,Hydration,"11.0g Carbs, 0.3g Pro, 0.0g Fat",Ready-to-drink,Widely available Rwandan juice; natural sugars provide fast glycogen replenishment post-game.
Inyange Mango Juice,Hydration,"12.0g Carbs, 0.3g Pro, 0.0g Fat",Ready-to-drink,Popular supermarket recovery drink; natural sugars and Vitamin C support immune recovery.
Azam Passion Fruit Juice,Hydration,"11.0g Carbs, 0.2g Pro, 0.0g Fat",Ready-to-drink,"Affordable, widely available East African juice for rapid post-workout rehydration."
Fresh Passion Fruit Juice (Maracuja),Hydration,"13.0g Carbs, 0.5g Pro, 0.0g Fat",Raw,Freshly squeezed; packed with Vitamin C and natural electrolytes for recovery.
Fresh Mango Juice,Hydration,"14.0g Carbs, 0.4g Pro, 0.0g Fat",Raw,Natural fast carbs and potassium; ideal post-game rehydration fluid.
ORS Electrolyte Drink (Oral Rehydration Salts),Hydration,"5.0g Carbs, 0.0g Pro, 0.0g Fat",Ready-to-drink,Medical-grade electrolyte replacement; critical for athletes losing heavy sweat in tropical heat.
Fresh Lemon Water with Honey,Hydration,"8.0g Carbs, 0.1g Pro, 0.0g Fat",Raw,"Natural electrolyte drink; honey provides fast glucose, lemon alkalizes post-workout acidity."
Ikivuguto (Rwandan Fermented Milk),Hydration,"4.0g Carbs, 3.5g Pro, 3.0g Fat",Raw,Traditional Rwandan probiotic drink; restores gut bacteria destroyed by intense training stress.
Fresh Whole Milk (Inshyushyu),Hydration,"5.0g Carbs, 3.2g Pro, 3.5g Fat",Boiled,Perfect whey-to-casein ratio for immediate and overnight muscle protein synthesis.
Coconut Water (Maji ya Nazi),Hydration,"4.0g Carbs, 0.7g Pro, 0.2g Fat",Raw,Nature's electrolyte drink; high potassium prevents post-game cramping immediately.
Watermelon Juice (Blended),Hydration,"8.0g Carbs, 0.6g Pro, 0.1g Fat",Blended,Contains L-Citrulline which clears lactic acid; excellent post-basketball recovery drink.
Canned Sardines in Tomato Sauce,Lean Protein,"0.5g Carbs, 22.0g Pro, 10.0g Fat",Ready-to-eat,Supermarket staple across East Africa; high Omega-3 and calcium for joint and bone recovery.
Boiled Eggs (2 eggs),Lean Protein,"1.1g Carbs, 13.0g Pro, 11.0g Fat",Boiled,Highest bioavailability protein food; perfect morning recovery meal after evening matches.
"Groundnuts / Peanuts (Roasted, unsalted)",Lean Protein,"16.0g Carbs, 26.0g Pro, 49.0g Fat",Roasted,"Affordable, portable protein snack available at every market across East Africa."
Soya Flour (Ufa wa Soya),Lean Protein,"30.0g Carbs, 36.0g Pro, 20.0g Fat",Raw,Cheapest complete plant protein in East Africa; ideal for vegetarian athletes.
Dried Dagaa / Indagara (Small Lake Fish),Lean Protein,"0.0g Carbs, 62.0g Pro, 9.0g Fat",Raw,Most protein-dense food per gram in the dataset; affordable Lake Victoria staple.
Boiled Sweet Potato (Ibirayi Ntsintsino),Fast Carbohydrate,"20.0g Carbs, 1.6g Pro, 0.1g Fat",Boiled,The best post-workout carb in East Africa; high potassium prevents cramping immediately.
Ripe Banana (Igitoki),Fast Carbohydrate,"23.0g Carbs, 1.1g Pro, 0.3g Fat",Raw,Fastest accessible post-game carb; potassium + glucose halts muscle cramps instantly.
Boiled White Rice with Beans,Fast Carbohydrate,"30.0g Carbs, 6.0g Pro, 1.0g Fat",Boiled,The classic East African recovery meal; complete amino acid profile from rice-bean combination.
Roasted Maize (Corn on the cob),Fast Carbohydrate,"19.0g Carbs, 3.2g Pro, 1.2g Fat",Roasted,Street food staple; accessible fast carb for on-the-go post-training recovery.
Boiled Matoke (Green Banana Stew),Slow Carbohydrate,"31.0g Carbs, 1.3g Pro, 0.4g Fat",Boiled,Ugandan-Rwandan staple; slow-release starchy carb perfect for evening recovery meals.
Raw Avocado (Avoka),Healthy Fat,"8.5g Carbs, 2.0g Pro, 14.7g Fat",Raw,Grown everywhere in Rwanda; monounsaturated fats reduce cardiovascular inflammation post-match.
Boiled Spinach (Epinard),Micronutrient,"3.8g Carbs, 3.0g Pro, 0.3g Fat",Boiled,Nitrates improve blood flow and oxygen delivery to working muscles during recovery.
